company_name,contact_person,address,phone,email,page_number,source_url,scraped_at
BAI - Builders Association of India - All India Association of Engineering Construction Contractors,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.516653
All IndiaAdilabadAdityapurAgraAgra canttAhmedabadAhmedabad westAhmednagarAligarhAllahabadAlleppeyAluvaAmaravathiAmravatiAnantpurAndaman & nicobarAngamaliAurangabadAvadiBaghpatBaramatiBareillyBarodaBharuchBhopalBhubaneshwarBhubaneswarBilaspurButiboriCalicutChandigarhChandigarhChanganacherryChengaiChennaiChettinaduChikamangalurChitraduragaCochinCoimbatoreCombined Patron CategoryDanapurDehradunDelhiDelhi east shahdaraDelhi northDelhi southDelhi south eastDelhi westDhanbadDharapuramDhuleDindigulDurg-BhilaiDurg-bhillaiDurgapurEastern (calcutta)ErodeEttumanoorFaridabadFrom Combined Patron CategoryFrom Patron CategorFrom Patron CategoryFrom Patron CategoryGandhinagarGautam buddha nagarGhaziabadGoaGreater hyderabadGreater JaipurGreater noidaGunturGurgaonGuwahatiHaldiaHapurHasanHazaribaghHosurHyderabadIchalkaranjiIdukkiIndoreJabalpurJagdalpurJaipurJaisalmerJalgaonJamshedpurJangaonJayankondamJharknad (Ranchi)JodhpurKalapakkamKallakurichiKamareddyKanchipuramKankerKanpurKanpur (south)KanyakumariKaraikalKarimnagarKarnalKarnataka (bangalore)KarnavatiKarurKerala (trivandrum) KhamammKodaikanalKodungallurKolhapurKollam KottayamKumbakonamKundliLaturLoniLucknowMadhuranthakamMaduraiMahaboobnagarMalegaonMandyaMangaloreMayiladuthuraiMedachalMedakMeerutMeerut cantonmentModinagarMohaliMumbaiMusiriMuvattupuzhaMuzaffarnagarMysoreNagapattnamNagpurNalgondaNamakkalNandedNandurbarNasikNelloreNeyveliNilgiriNizamabadNorth malabarNtrOngolePalaniPandharpurPanipatParbhaniPast PresidentPast President & Past TrusteePathanamthittaPatnaPerambalurPhaltanPink City JaipurPink city jaipur PondicherryPonneriPoonamalleePor-RamangamdiPudukkottaiPuneRaichurRaigadRaipurRajahmundryRajasthan (jaipur)RajkotRamnathpuramRanga reddyRavulapalemSahibabadSalemSangamnerSangliSataraShahdaShimogaSiddipetSilcharSitapurSolapurSouthern (chennai)SuratTambaramTanukuTenkasiTezpurThanjavurThenniThiruporurThiruthuraipoondiThiruvallaThiruvannamalaiThiruvarurThripunithuraThrissurTiruchirapalliTirunelveliTirupatiTirupurTiruvallurTuticorinUdumalpetUlhasnagarVelloreVijayawadaVijaywadaVikarabadVillupuramVisakhapatnamVizag Steel CityWaiWarangalWestern u.p. ElectricalYadadriAll India,N/A,All IndiaAdilabadAdityapurAgraAgra canttAhmedabadAhmedabad westAhmednagarAligarhAllahabadAlleppeyAluvaAmaravathiAmravatiAnantpurAndaman & nicobarAngamaliAurangabadAvadiBaghpatBaramatiBareillyBarodaBharuchBhopalBhubaneshwarBhubaneswarBilaspurButiboriCalicutChandigarhChandigarhChanganacherryChengaiChennaiChettinaduChikamangalurChitraduragaCochinCoimbatoreCombined Patron CategoryDanapurDehradunDelhiDelhi east shahdaraDelhi northDelhi southDelhi south eastDelhi westDhanbadDharapuramDhuleDindigulDurg-BhilaiDurg-bhillaiDurgapurEastern (calcutta)ErodeEttumanoorFaridabadFrom Combined Patron CategoryFrom Patron CategorFrom Patron CategoryFrom Patron CategoryGandhinagarGautam buddha nagarGhaziabadGoaGreater hyderabadGreater JaipurGreater noidaGunturGurgaonGuwahatiHaldiaHapurHasanHazaribaghHosurHyderabadIchalkaranjiIdukkiIndoreJabalpurJagdalpurJaipurJaisalmerJalgaonJamshedpurJangaonJayankondamJharknad (Ranchi)JodhpurKalapakkamKallakurichiKamareddyKanchipuramKankerKanpurKanpur (south)KanyakumariKaraikalKarimnagarKarnalKarnataka (bangalore)KarnavatiKarurKerala (trivandrum) KhamammKodaikanalKodungallurKolhapurKollam KottayamKumbakonamKundliLaturLoniLucknowMadhuranthakamMaduraiMahaboobnagarMalegaonMandyaMangaloreMayiladuthuraiMedachalMedakMeerutMeerut cantonmentModinagarMohaliMumbaiMusiriMuvattupuzhaMuzaffarnagarMysoreNagapattnamNagpurNalgondaNamakkalNandedNandurbarNasikNelloreNeyveliNilgiriNizamabadNorth malabarNtrOngolePalaniPandharpurPanipatParbhaniPast PresidentPast President & Past TrusteePathanamthittaPatnaPerambalurPhaltanPink City JaipurPink city jaipur PondicherryPonneriPoonamalleePor-RamangamdiPudukkottaiPuneRaichurRaigadRaipurRajahmundryRajasthan (jaipur)RajkotRamnathpuramRanga reddyRavulapalemSahibabadSalemSangamnerSangliSataraShahdaShimogaSiddipetSilcharSitapurSolapurSouthern (chennai)SuratTambaramTanukuTenkasiTezpurThanjavurThenniThiruporurThiruthuraipoondiThiruvallaThiruvannamalaiThiruvarurThripunithuraThrissurTiruchirapalliTirunelveliTirupatiTirupurTiruvallurTuticorinUdumalpetUlhasnagarVelloreVijayawadaVijaywadaVikarabadVillupuramVisakhapatnamVizag Steel CityWaiWarangalWestern u.p. ElectricalYadadriAll India,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.516766
BAI Team 2025-26,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.516945
Past Presidents,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.516983
Committees,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517039
BAI Activities,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517092
Members Area,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517116
Price Index Numbers,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517135
Membership Data Updation form,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517155
Please inform me my membership number.,N/A,N/A,N/A,N/A,0,https://baionline.in/committee_member/coimbatore?page=0,2025-09-24T10:45:36.517174
