Ward Number,Ward Name,Direction,Description
1,Ward 1,North,"Starts from S.F. No. 204 Of Thudiyalur Village, Udayakumar Thottam towards North East Johnbosco Nagar, Saravana Nagar, crossing Eashwar Sakthi Nagar, Palanigoundenpudur Road, S.F. No. 206 Soundararajan Thottam via Mullai Nagar, Suruthi Avenue, Eashwara Nagar Boundary via towards South Chettiar Thottam, Sowdambika Nagar Pallam via Mettupalayam Road Junction, then towards South Vellakinar Road via, towards East including Ambika Nagar ,manis Nagar, Anna Colony Entrance, Thudiyalur Ward Office, Vellakinar Road Southern Side via upto Thudiyalur Railway Gate."
1,Ward 1,East,"Starts from Vellakinar Road Thudiyalur Railway Gate towards South, V.P.V. Nagar, Viswanathapuram Boundary upto Chinnavedampatti Canal, towards West abutting Canal upto Mettupalayam Road Junction, In Mettupalayam Road West Side towards South uptoV.K.L. Nagar Road."
2,Ward 2,North,"Starts from Mettupalayam Road Thudiyalur Police Station. Northern Side, SS Kalyana Mandapam Road via, towards East Thudiyalaur Modem Crematorium, towards North Crossing ldikarai Road, TNP Nagar Northern Boundary via, towards East New Muthu Nagar Boundary, Coimbatore Mtp Railway Track, Crossing Northern Boundary, towards East TNHB Phase 11, Phase Ill via Kurudampalayam ldikarai Junction. towards East Vattamalaipalayall’) Ganga Nursing College, Ramakrishna College Road, upto Chinnarayan Temple."
2,Ward 2,East,"Starts from Northern Boundary Ramakrishna College Backside Road via upto Panchayat Union School (including School), towards South then towards East Coimbatore Public School Road via then towards South upto Thudiyalur Saravanampatti Road Junction."
2,Ward 2,South,"Starts from Thudiyalur Saravanampatti R and Coimbatore Public School Road Junction, towards West Donbosco Puram via including Martin Nandavanam Apartment. Assisi Nagar via towards South including Brilliant School, Peria Thottam. there onwards West upto Vellakinar N.G. Pudur Road Junction."
3,Ward 3,North,"Starts from Thudiyalur Saravanampatti R and Coimbatore Public School Road Junction, towards West Donbosco Puram via including Martin Nandavanam Apartment. Assisi Nagar via towards South including Brilliant School, Peria Thottam. there onwards West upto Vellakinar N.G. Pudur Road Junction."
3,Ward 3,East,"Starts from S.F.No. 454 Northeast Boundary, towards South upto S.F. No. 454, 455’s Southeast Village Boundary, there onwardsWest Saravanampatti Village Boundary via"
3,Ward 3,East,"S.F. No. 456 Southeast Boundary, there onwardsSouth Saravanampatti Village Boundary via upto S.F. No. 463 Southeast Boundary, there onwardsWest Saravanmnpatti Village Boundary via S.F. No. 466 Southeast Boundary, there onwards South Sarvanampatti Village Boundary via upto Velappanayakanpudur. there onwards East Village Boundary via S.F. No. 632 Northeast Boundary, there onwardsEast Village Border via S.F. No. 637 Northeast Boundary, there onwards Village Boundary Saravanmpatti onwards Thudiyalur Road, Kumaraguru College Of Technology including, S.F. No. 593 Northeast Boundary onwardsSouth Village Boundary, there onwardsWest S.F. No. 596 Southeast, towards South Tangedco Office, there onwards including Teachers Colony. KurinJi Nagar, there onwards S.F. No. 614 Southeast Area, there onwardsSouth Village Boundary via Sakthi Nagar Southeast Boundary, towards South upto Ramakrishna Mill Northern Boundary, there onwardsWest Athipalayam Main Road Maniyakaranpalayam Road Junction."
3,Ward 3,South,"Starts from S.F.No. 454 Northeast Boundary, towards South upto S.F. No. 454, 455’s Southeast Village Boundary, there onwardsWest Saravanampatti Village Boundary viaS.F. No. 456 Southeast Boundary, there onwardsSouth Saravanampatti Village Boundary via upto S.F. No. 463 Southeast Boundary, there onwardsWest Saravanmnpatti Village Boundary via S.F. No. 466 Southeast Boundary, there onwards South Sarvanampatti Village Boundary via upto Velappanayakanpudur. there onwards East Village Boundary via S.F. No. 632 Northeast Boundary, there onwardsEast Village Border via S.F. No. 637 Northeast Boundary, there onwards Village Boundary Saravanmpatti onwards Thudiyalur Road, Kumaraguru College Of Technology including, S.F. No. 593 Northeast Boundary onwardsSouth Village Boundary, there onwardsWest S.F. No. 596 Southeast, towards South Tangedco Office, there onwards including Teachers Colony. KurinJi Nagar, there onwards S.F. No. 614 Southeast Area, there onwardsSouth Village Boundary via Sakthi Nagar Southeast Boundary, towards South upto Ramakrishna Mill Northern Boundary, there onwardsWest Athipalayam Main Road Maniyakaranpalayam Road Junction."
4,Ward 4,North,"Starts from Thudiyalur Road 2 Kms awayiln Keeranatham Road lead to Special Economic Zone and Sathy Road Keeranatham Road,including VKV Kumaraguru Nagar, Corporation Elementary School, Kandasami Nagar upto Sathy Road."
4,Ward 4,East,"Starts from Sathy Road towards South, Viswasapuram Antony’s Church via including Revenue Nagar, Siva Elango Nagar, Maha Nagar, upto K.G. Lay Out"
4,Ward 4,South,"Starts from K.G. Lay Out towards West. including Jaya Nagar upto Jaya Nagar Western Boundary, there onwardsNorth, Boyar Street Eastern Boundary via Sathy Road Upa Sandhu Southern Boundary via towards West upto Sathy Road, there onwardsSouth, upto Saravanampatti Check Post, towards West, including Sri Ram Nagar, Ramanandha Nagar Northern Boundary via upto Southnorth Canal. there onwardsSri Nagar Southern Boundary via iin<;luding Meenatchi Nagar, towards West Chinnavedampatti Village Boundary."
4,Ward 4,West,"Starts from K.G. Lay Out towards West. including Jaya Nagar upto Jaya Nagar Western Boundary, there onwardsNorth, Boyar Street Eastern Boundary via Sathy Road Upa Sandhu Southern Boundary via towards West upto Sathy Road, there onwardsSouth, upto Saravanampatti Check Post, towards West, including Sri Ram Nagar, Ramanandha Nagar Northern Boundary via upto Southnorth Canal. there onwardsSri Nagar Southern Boundary via iin<;luding Meenatchi Nagar, towards West Chinnavedampatti Village Boundary."
5,Ward 5,North,Starts from from Ragavi Garden towards East VKV Nagar along Sathy Main Road via Valiyampalayam upto Kurumbapalayam Channel
