S.No,Registration Number,Name & Address,Type,Date,Source URL,Scraped At
1,TN/Agent/0241/2020 dated 12.10.2020,TN/Agent/0241/2020 dated 12.10.2020,Firm,12.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583053
2,TN/Agent/0242/2020 dated 19.10.2020,TN/Agent/0242/2020 dated 19.10.2020,Individual,19.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583178
3,TN/Agent/0243/2020 dated 19.10.2020,TN/Agent/0243/2020 dated 19.10.2020,Individual,19.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583233
4,TN/Agent/0244/2020 dated 19.10.2020,TN/Agent/0244/2020 dated 19.10.2020,Individual,19.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583279
5,TN/Agent/0245/2020 dated 19.10.2020,TN/Agent/0245/2020 dated 19.10.2020,Individual,19.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583318
6,TN/Agent/0246/2020 dated 19.10.2020,TN/Agent/0246/2020 dated 19.10.2020,Individual,19.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583355
7,TN/Agent/0247/2020 dated 21.10.2020,TN/Agent/0247/2020 dated 21.10.2020,Individual,21.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583389
8,TN/Agent/0248/2020 dated 29.10.2020,TN/Agent/0248/2020 dated 29.10.2020,Individual,29.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583422
9,TN/Agent/0249/2020 dated 29.10.2020,TN/Agent/0249/2020 dated 29.10.2020,Individual,29.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583456
10,TN/Agent/0250/2020 dated 29.10.2020,TN/Agent/0250/2020 dated 29.10.2020,Individual,29.10.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583486
11,TN/Agent/0251/2020 dated 02.11.2020,TN/Agent/0251/2020 dated 02.11.2020,Individual,02.11.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583513
12,TN/Agent/0252/2020 dated 02.11.2020,TN/Agent/0252/2020 dated 02.11.2020,Individual,02.11.2020,https://rera.tn.gov.in/registered-agents/tn,2025-09-12T09:45:40.583545
