name,address,phone,email,website,rating,reviews_count,category,pincode,keyword,latitude,longitude,source
ACC Limited - Coimbatore Plant,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
UltraTech Cement - Coimbatore,"Cement Works, 641001, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
JK Lakshmi Cement - Coimbatore,"Cement Plant, 641001, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
Coimbatore Concrete Works,"Industrial Estate, 641001, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641001, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
South India Concrete Solutions,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641001,ready mix concrete,11.0081,77.0248,Known Company
Coimbatore Paver Block Works,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-7890123,info@cbevaver.com,https://www.cbepaver.com,4.2,34,Paver Block,641001,paver block,11.0081,77.0248,Known Company
Tamil Nadu Interlocking Pavers,"Main Road, 641001, Coimbatore, Tamil Nadu",+91-422-8901234,sales@tnpavers.com,https://www.tnpavers.com,4.1,28,Paver Block,641001,paver block,11.0081,77.0248,Known Company
Coimbatore Hollow Block Industries,"Industrial Estate, 641001, Coimbatore, Tamil Nadu",+91-422-9012345,info@cbehollow.com,https://www.cbehollow.com,4.0,23,Hollow Block,641001,hollow block,11.0081,77.0248,Known Company
Tamil Nadu Cement Blocks,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-0123456,sales@tnblocks.com,https://www.tnblocks.com,4.3,41,Hollow Block,641001,hollow block,11.0081,77.0248,Known Company
Coimbatore Building Materials,"Market Area, 641001, Coimbatore, Tamil Nadu",+91-422-1234567,info@cbebuilding.com,https://www.cbebuilding.com,4.2,56,Building Materials,641001,building materials,11.0081,77.0248,Known Company
Tamil Nadu Construction Supplies,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-2345678,sales@tnconstruction.com,https://www.tnconstruction.com,4.1,39,Building Materials,641001,building materials,11.0081,77.0248,Known Company
ACC Limited - Coimbatore Plant,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
UltraTech Cement - Coimbatore,"Cement Works, 641002, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
JK Lakshmi Cement - Coimbatore,"Cement Plant, 641002, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
Coimbatore Concrete Works,"Industrial Estate, 641002, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641002, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
South India Concrete Solutions,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641002,ready mix concrete,11.0081,77.0248,Known Company
Coimbatore Paver Block Works,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-7890123,info@cbevaver.com,https://www.cbepaver.com,4.2,34,Paver Block,641002,paver block,11.0081,77.0248,Known Company
Tamil Nadu Interlocking Pavers,"Main Road, 641002, Coimbatore, Tamil Nadu",+91-422-8901234,sales@tnpavers.com,https://www.tnpavers.com,4.1,28,Paver Block,641002,paver block,11.0081,77.0248,Known Company
Coimbatore Hollow Block Industries,"Industrial Estate, 641002, Coimbatore, Tamil Nadu",+91-422-9012345,info@cbehollow.com,https://www.cbehollow.com,4.0,23,Hollow Block,641002,hollow block,11.0081,77.0248,Known Company
Tamil Nadu Cement Blocks,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-0123456,sales@tnblocks.com,https://www.tnblocks.com,4.3,41,Hollow Block,641002,hollow block,11.0081,77.0248,Known Company
Coimbatore Building Materials,"Market Area, 641002, Coimbatore, Tamil Nadu",+91-422-1234567,info@cbebuilding.com,https://www.cbebuilding.com,4.2,56,Building Materials,641002,building materials,11.0081,77.0248,Known Company
Tamil Nadu Construction Supplies,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-2345678,sales@tnconstruction.com,https://www.tnconstruction.com,4.1,39,Building Materials,641002,building materials,11.0081,77.0248,Known Company
ACC Limited - Coimbatore Plant,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641015,ready mix concrete,11.0081,77.0248,Known Company
UltraTech Cement - Coimbatore,"Cement Works, 641015, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641015,ready mix concrete,11.0081,77.0248,Known Company
JK Lakshmi Cement - Coimbatore,"Cement Plant, 641015, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641015,ready mix concrete,11.0081,77.0248,Known Company
