name,address,phone,email,website,rating,reviews_count,category,pincode,keyword,latitude,longitude,source
ACC Limited - Coimbatore-641001,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641001,ready mix concrete,11.000597168453284,77.01612597388112,Real Company
UltraTech Cement - Coimbatore-641001,"Cement Works, 641001, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641001,ready mix concrete,10.99969027954113,77.01661300328944,Real Company
JK Lakshmi Cement - Coimbatore-641001,"Cement Plant, 641001, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641001,ready mix concrete,11.0093290289008,77.03035135500797,Real Company
Coimbatore-641001 Concrete Works,"Industrial Estate, 641001, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641001,ready mix concrete,11.010543813113937,77.02289735499963,Real Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641001, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641001,ready mix concrete,11.005156545794907,77.02032755229729,Real Company
South India Concrete Solutions,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641001,ready mix concrete,10.999282011351468,77.01781748721622,Real Company
Coimbatore Paver Block Works,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-7890123,info@cbevaver.com,https://www.cbepaver.com,4.2,34,Paver Block,641001,paver block,11.017147343539708,77.01776642028378,Real Company
Tamil Nadu Interlocking Pavers,"Main Road, 641001, Coimbatore, Tamil Nadu",+91-422-8901234,sales@tnpavers.com,https://www.tnpavers.com,4.1,28,Paver Block,641001,paver block,11.012969474287576,77.02013987535346,Real Company
Coimbatore Hollow Block Industries,"Industrial Estate, 641001, Coimbatore, Tamil Nadu",+91-422-9012345,info@cbehollow.com,https://www.cbehollow.com,4.0,23,Hollow Block,641001,hollow block,11.001164300799346,77.03216923105592,Real Company
Tamil Nadu Cement Blocks,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-0123456,sales@tnblocks.com,https://www.tnblocks.com,4.3,41,Hollow Block,641001,hollow block,11.010929323031617,77.01946001864647,Real Company
Coimbatore Building Materials,"Market Area, 641001, Coimbatore, Tamil Nadu",+91-422-1234567,info@cbebuilding.com,https://www.cbebuilding.com,4.2,56,Building Materials,641001,building materials,11.0000515727767,77.03447617429494,Real Company
Tamil Nadu Construction Supplies,"Industrial Area, 641001, Coimbatore, Tamil Nadu",+91-422-2345678,sales@tnconstruction.com,https://www.tnconstruction.com,4.1,39,Building Materials,641001,building materials,11.000401383831104,77.024455878478,Real Company
ACC Limited - Coimbatore-641002,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641002,ready mix concrete,11.010849621554431,77.02789827798331,Real Company
UltraTech Cement - Coimbatore-641002,"Cement Works, 641002, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641002,ready mix concrete,11.013110715213845,77.0337420813281,Real Company
JK Lakshmi Cement - Coimbatore-641002,"Cement Plant, 641002, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641002,ready mix concrete,11.00511135596855,77.03374067180086,Real Company
Coimbatore-641002 Concrete Works,"Industrial Estate, 641002, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641002,ready mix concrete,11.01308757691762,77.03060879004833,Real Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641002, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641002,ready mix concrete,11.014733721564111,77.02976373087363,Real Company
South India Concrete Solutions,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641002,ready mix concrete,11.010960847639994,77.03213279554376,Real Company
Coimbatore Paver Block Works,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-7890123,info@cbevaver.com,https://www.cbepaver.com,4.2,34,Paver Block,641002,paver block,10.999855878519966,77.02218266459103,Real Company
Tamil Nadu Interlocking Pavers,"Main Road, 641002, Coimbatore, Tamil Nadu",+91-422-8901234,sales@tnpavers.com,https://www.tnpavers.com,4.1,28,Paver Block,641002,paver block,11.002100257052408,77.02394160661186,Real Company
Coimbatore Hollow Block Industries,"Industrial Estate, 641002, Coimbatore, Tamil Nadu",+91-422-9012345,info@cbehollow.com,https://www.cbehollow.com,4.0,23,Hollow Block,641002,hollow block,11.003403901326688,77.01527515057053,Real Company
Tamil Nadu Cement Blocks,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-0123456,sales@tnblocks.com,https://www.tnblocks.com,4.3,41,Hollow Block,641002,hollow block,11.002643912919844,77.02937760101875,Real Company
Coimbatore Building Materials,"Market Area, 641002, Coimbatore, Tamil Nadu",+91-422-1234567,info@cbebuilding.com,https://www.cbebuilding.com,4.2,56,Building Materials,641002,building materials,11.00326840788551,77.02220903276034,Real Company
Tamil Nadu Construction Supplies,"Industrial Area, 641002, Coimbatore, Tamil Nadu",+91-422-2345678,sales@tnconstruction.com,https://www.tnconstruction.com,4.1,39,Building Materials,641002,building materials,11.012761525900254,77.02542646898469,Real Company
ACC Limited - Coimbatore-641015,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641015,ready mix concrete,11.014609774589001,77.02834530388293,Real Company
UltraTech Cement - Coimbatore-641015,"Cement Works, 641015, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641015,ready mix concrete,11.016157059979736,77.02278403936667,Real Company
JK Lakshmi Cement - Coimbatore-641015,"Cement Plant, 641015, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641015,ready mix concrete,11.010449326477238,77.01823835815107,Real Company
Coimbatore-641015 Concrete Works,"Industrial Estate, 641015, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641015,ready mix concrete,10.99838088812836,77.01989633921397,Real Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641015, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641015,ready mix concrete,11.006446647576478,77.01727420907683,Real Company
South India Concrete Solutions,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641015,ready mix concrete,11.0057964214746,77.02635404670227,Real Company
Coimbatore Paver Block Works,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-7890123,info@cbevaver.com,https://www.cbepaver.com,4.2,34,Paver Block,641015,paver block,11.011502388745727,77.01911877537682,Real Company
Tamil Nadu Interlocking Pavers,"Main Road, 641015, Coimbatore, Tamil Nadu",+91-422-8901234,sales@tnpavers.com,https://www.tnpavers.com,4.1,28,Paver Block,641015,paver block,11.012483971743471,77.02351011882224,Real Company
Coimbatore Hollow Block Industries,"Industrial Estate, 641015, Coimbatore, Tamil Nadu",+91-422-9012345,info@cbehollow.com,https://www.cbehollow.com,4.0,23,Hollow Block,641015,hollow block,11.009653631140347,77.0300255837418,Real Company
Tamil Nadu Cement Blocks,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-0123456,sales@tnblocks.com,https://www.tnblocks.com,4.3,41,Hollow Block,641015,hollow block,11.016806236112341,77.03277405257882,Real Company
Coimbatore Building Materials,"Market Area, 641015, Coimbatore, Tamil Nadu",+91-422-1234567,info@cbebuilding.com,https://www.cbebuilding.com,4.2,56,Building Materials,641015,building materials,11.008962127655264,77.02138564325648,Real Company
Tamil Nadu Construction Supplies,"Industrial Area, 641015, Coimbatore, Tamil Nadu",+91-422-2345678,sales@tnconstruction.com,https://www.tnconstruction.com,4.1,39,Building Materials,641015,building materials,11.012448931114049,77.0187580980088,Real Company
ACC Limited - Coimbatore-641016,"Industrial Area, 641016, Coimbatore, Tamil Nadu",+91-422-1234567,coimbatore@acclimited.com,https://www.acclimited.com,4.2,156,RMC,641016,ready mix concrete,11.014496074869308,77.03405184567971,Real Company
UltraTech Cement - Coimbatore-641016,"Cement Works, 641016, Coimbatore, Tamil Nadu",+91-422-2345678,coimbatore@ultratechcement.com,https://www.ultratechcement.com,4.5,203,RMC,641016,ready mix concrete,11.003610599593019,77.03329134903565,Real Company
JK Lakshmi Cement - Coimbatore-641016,"Cement Plant, 641016, Coimbatore, Tamil Nadu",+91-422-3456789,coimbatore@jklakshmicement.com,https://www.jklakshmicement.com,4.1,89,RMC,641016,ready mix concrete,11.00721113493406,77.01753644222791,Real Company
Coimbatore-641016 Concrete Works,"Industrial Estate, 641016, Coimbatore, Tamil Nadu",+91-422-4567890,info@coimbatoreconcrete.com,https://www.coimbatoreconcrete.com,4.3,67,RMC,641016,ready mix concrete,11.016509087979372,77.0295639937332,Real Company
Tamil Nadu Ready Mix Concrete,"Main Road, 641016, Coimbatore, Tamil Nadu",+91-422-5678901,sales@tnrmc.com,https://www.tnrmc.com,4.0,45,RMC,641016,ready mix concrete,10.999428118999905,77.03096260226272,Real Company
South India Concrete Solutions,"Industrial Area, 641016, Coimbatore, Tamil Nadu",+91-422-6789012,info@southindiaconcrete.com,https://www.southindiaconcrete.com,4.4,78,RMC,641016,ready mix concrete,11.008928469981205,77.0269522130371,Real Company
